feature,gain_rank,gain_importance_mean,gain_importance_pct,split_importance_mean,count_flag_1,count_flag_0,coverage_pct,pit_rate_when_1,pit_rate_when_0,base_rate,diff_1_vs_0,diff_1_vs_base,lift_vs_base,is_outlier_flag
LapTime_s_minus_roll5_mean_by_driver_race,59,1845.2786256790162,0.00893752611425931,31.4,,,,,,,,,,0
flag_Stint_low05,60,1562.1853816986084,0.007566376399719997,5.6,216288.0,222852.0,49.25263014072961,0.05981839029442225,0.33404681133667186,0.19898210137996994,-0.2742284210422496,-0.1391637110855477,0.3006219648881632,1
Degradation_per_TyreLife,61,1537.0868154525756,0.007444812594594449,23.8,,,,,,,,,,0
RaceProgress_sq,62,1404.524937915802,0.006802754953134373,6.0,,,,,,,,,,0
flag_TyreLife_low01,63,1391.3579833984375,0.006738981386255872,2.8,18440.0,420700.0,4.199116454889102,0.004880694143167028,0.2074898977893986,0.19898210137996994,-0.20260920364623158,-0.19410140723680291,0.024528307366937535,1
TyreLife_pct_change_lag1_by_driver_race,64,1284.976993763447,0.006223729727404833,16.8,,,,,,,,,,0
Driver_frequency,65,1249.558406853676,0.006052181354692416,15.6,,,,,,,,,,0
Position_Change_pct_change_lag1_by_driver_race,66,1243.052203130722,0.006020668842235283,19.2,,,,,,,,,,0
Driver_target_encoded,67,1198.54727602005,0.0058051111791650395,26.4,,,,,,,,,,0
flag_TyreLife_low05,68,1195.4618011474608,0.005790166816907276,1.6,33379.0,405761.0,7.600992849660701,0.016926810269930197,0.21395846323328266,0.19898210137996994,-0.19703165296335245,-0.18205529111003974,0.08506699925541189,1
RaceProgress_lag2_by_driver_race,69,1185.3451042175293,0.005741167038910043,16.4,,,,,,,,,,0
Compound_TyreLifeBin_frequency,70,1153.2471706390381,0.0055857021050082795,21.0,,,,,,,,,,0
TyreLife_roll5_mean_by_driver_race,71,1151.638336277008,0.005577909786317723,9.2,,,,,,,,,,0
Position_minus_roll3_mean_by_driver_race,72,1103.1212030410766,0.005342919178801434,18.8,,,,,,,,,,0
LapTime_s_stint_cumsum_prev,73,1001.3057352900505,0.004849780425012709,16.8,,,,,,,,,,0
Race_Year_Compound_frequency,74,900.9473061084748,0.004363698773648911,9.8,,,,,,,,,,0
Driver_Year_frequency,75,849.9987335205078,0.004116931596241416,20.0,,,,,,,,,,0
TyreLife_stint_start,76,846.8823875784874,0.004101837711312453,5.2,,,,,,,,,,0
TyreLife_stint_cumsum_prev,77,834.4362203121185,0.004041555245880069,15.2,,,,,,,,,,0
Race_Compound_target_encoded,78,824.8997911453247,0.003995365969350819,10.6,,,,,,,,,,0
Position_x_Degradation,79,793.4175445556641,0.003842883088383667,21.2,,,,,,,,,,0
RaceProgress_lag3_by_driver_race,80,735.4840453743934,0.003562284725286877,15.0,,,,,,,,,,0
Cumulative_Degradation,81,710.8705612838269,0.003443070394312119,13.8,,,,,,,,,,0
RaceProgress_lag1_by_driver_race,82,677.1301481723785,0.0032796501828096414,14.0,,,,,,,,,,0
RaceProgressBin,83,658.3447250366211,0.00318866380952877,3.0,,,,,,,,,,0
LapTime_s_pct_change_lag1_by_driver_race,84,644.2578014373779,0.0031204344127397175,12.4,,,,,,,,,,0
LapDelta_x_Degradation,85,613.0398581385613,0.0029692316731729645,16.4,,,,,,,,,,0
Year_minus_2022,86,597.4859035491943,0.0028938967761075866,5.6,,,,,,,,,,0
LapTime_s_diff_lag1_by_driver_race,87,590.4985507965088,0.0028600538394217036,11.4,,,,,,,,,,0
flag_RaceProgress_low05,88,582.0378051757813,0.002819074588982745,0.6,23238.0,415902.0,5.291706517283782,0.052285050348567,0.20717861419276656,0.19898210137996994,-0.15489356384419956,-0.14669705103140293,0.2627625800811356,1
Position_stint_cumsum_prev,89,580.823539352417,0.0028131933457087237,9.8,,,,,,,,,,0
clipped_Cumulative_Degradation,90,572.4482342243194,0.002772627922549542,10.8,,,,,,,,,,0
Cumulative_Degradation_stint_cumsum_prev,91,553.0516875267028,0.0026786815990925044,12.2,,,,,,,,,,0
TyreLife_roll5_max_by_driver_race,92,534.8338018417359,0.0025904440685699426,7.4,,,,,,,,,,0
stint_lap_index,93,524.5744720458985,0.002540753454540663,2.6,,,,,,,,,,0
LapTime (s),94,508.14530153274535,0.0024611794875236807,10.2,,,,,,,,,,0
Race_Compound_frequency,95,484.97912735939025,0.0023489751386732995,10.6,,,,,,,,,,0
Race_frequency,96,456.7701458930969,0.002212346173809589,5.2,,,,,,,,,,0
Compound_Stint_bin_frequency,97,430.0804183959961,0.0020830756489315224,7.4,,,,,,,,,,0
Driver_Compound_frequency,98,416.31999945640564,0.0020164276631453744,19.6,,,,,,,,,,0
Position_Change_minus_roll5_mean_by_driver_race,99,375.26433820724486,0.0018175763680367376,10.6,,,,,,,,,,0
DegPerTyreLap,100,349.8650016784668,0.0016945557952344694,6.8,,,,,,,,,,0
Compound_RaceProgressBin_frequency,101,349.85324010849,0.001694498828585992,4.6,,,,,,,,,,0
Compound_frequency,102,346.75386447906493,0.001679487138621994,3.8,,,,,,,,,,0
LapTime_s_stint_diff_prev,103,344.35018014907837,0.0016678449989631198,12.8,,,,,,,,,,0
TyreLife_since_stint_start,104,343.52820167541506,0.0016638637822669032,7.4,,,,,,,,,,0
Year_str,105,342.4001953125,0.0016584003329073818,0.6,,,,,,,,,,0
Race_Year_frequency,106,323.2622498989105,0.0015657065334307395,7.2,,,,,,,,,,0
TyreLife_roll3_std_by_driver_race,107,306.8079908370972,0.001486011051128369,9.4,,,,,,,,,,0
TyreLife_stint_expanding_mean_prev,108,306.04632196426394,0.0014823219413394012,10.6,,,,,,,,,,0
Compound_RaceProgressBin_target_encoded,109,299.418926525116,0.0014502224421187283,9.8,,,,,,,,,,0
Cumulative_Degradation_lag3_by_driver_race,110,290.06961550712583,0.0014049394641387112,13.8,,,,,,,,,,0
LapTime_Delta_minus_roll5_mean_by_driver_race,111,275.99924144744875,0.0013367902243189055,9.6,,,,,,,,,,0
Race_target_encoded,112,274.271612739563,0.0013284225304229275,4.0,,,,,,,,,,0
Cumulative_Degradation_pct_change_lag1_by_driver_race,113,257.86523666381834,0.0012489589672640738,9.4,,,,,,,,,,0
LapTime_Delta_stint_cumsum_prev,114,241.28136672973633,0.0011686357203848678,8.8,,,,,,,,,,0
Cumulative_Degradation_stint_diff_prev,115,235.33424015045165,0.0011398310735594576,7.8,,,,,,,,,,0
