run_id,timestamp,final_cv_auc,baseline_cv_auc,delta_vs_baseline,comparison_status,best_optuna_cv_auc,n_trials,n_estimators,early_stopping_rounds,feature_count_before_target_encoding,run_dir,n_outlier_flags,n_time_series_features,n_selected_features,keep_top_n,min_gain,n_top_notebook_features,drop_pitstop_features,stratification
lgbm_safe_numeric_features_20260529_124518,2026-05-29 13:02:46,0.9442480430696985,0.937,0.0072480430696982,improved,0.9442480430696985,10,20000,300,49,C:\Users\takit\Downloads\f1\runs\lgbm_safe_numeric_features_20260529_124518,,,,,,,,
lgbm_safe_numeric_features_20260529_180843,2026-05-29 18:30:16,0.943686433832161,0.937,0.0066864338321609,improved,0.943686433832161,10,20000,300,49,C:\Users\takit\Downloads\f1\runs\lgbm_safe_numeric_features_20260529_180843,,,,,,,,
lgbm_outlier_flags_20260529_194405,2026-05-29 19:58:01,0.9438618866307296,0.943686,0.0001758866307294,roughly_same,0.9438618866307296,10,20000,300,65,C:\Projects\F1PitPrediction\runs\lgbm_outlier_flags_20260529_194405,16.0,,,,,,,
full_features_model_20260529_201135,2026-05-29 20:49:58,0.944657783389522,0.943862,0.0007957833895219,improved,0.944657783389522,10,20000,300,202,C:\Projects\F1PitPrediction\runs\full_features_model_20260529_201135,16.0,137.0,,,,,,
pruned_full_features_model_20260529_220040,2026-05-29 22:32:20,0.9436638531053764,0.944658,-0.0009941468946236,worse,0.9436638531053764,10,20000,300,144,C:\Projects\F1PitPrediction\runs\pruned_full_features_model_20260529_220040,16.0,137.0,150.0,150.0,0.0,,,
pruned_full_features_model_20260529_223709,2026-05-29 23:15:08,0.9435371963638428,0.944658,-0.0011208036361572,worse,0.9435371963638428,10,20000,300,174,C:\Projects\F1PitPrediction\runs\pruned_full_features_model_20260529_223709,16.0,137.0,180.0,180.0,0.0,,,
no_pitstop_yearstrat_extra_features_model_20260529_233024,2026-05-29 23:46:08,0.9397058966101766,0.944658,-0.004952103389823437,worse,0.9397058966101766,3,20000,300,217,C:\Projects\F1PitPrediction\runs\no_pitstop_yearstrat_extra_features_model_20260529_233024,16.0,132.0,,,,19.0,True,target_x_year
