feature,split_importance_fold_1,gain_importance_fold_1,split_importance_fold_2,gain_importance_fold_2,split_importance_fold_3,gain_importance_fold_3,split_importance_fold_4,gain_importance_fold_4,split_importance_fold_5,gain_importance_fold_5,split_importance_mean,gain_importance_mean,gain_importance_pct,gain_rank
Position,149,18512.850023269653,115,17411.07841014862,115,15188.71775341034,128,17953.67968916893,111,17904.228765010834,123.6,17394.110928201677,0.08424761360790176,37
LapTime_over_TyreLife,76,17938.879111289978,60,16302.309799194336,57,23454.37667942047,69,14903.179530620575,70,14128.93486571312,66.4,17345.535997247694,0.08401234305967231,38
LapNumber,25,19608.036586523056,24,15450.239934444427,12,6143.172008514404,19,14730.154653549194,20,22973.982944488525,20.0,15781.117225503922,0.07643514933319515,39
Year,3,10055.17366027832,1,8919.1904296875,4,25342.744903564453,4,22970.576568603516,1,8905.419921875,2.6,15238.621096801759,0.0738075931204438,40
PositionPressure,97,14756.261279463768,94,15190.701360702515,94,12104.255128383636,93,15061.504143238068,100,18838.474892616272,95.6,15190.239360880852,0.07357325830388614,41
TyreLife_minus_roll5_mean_by_driver_race,82,13572.25469493866,39,13375.39738368988,58,16044.470429420471,46,12454.290474891663,54,14805.594457149506,55.8,14050.401488018037,0.0680525035447047,42
TyreLife_stint_diff_prev,40,17692.580697774887,25,10064.000394821167,36,13416.632390022278,17,9892.872804641724,38,18485.944913864136,31.2,13910.406240224838,0.06737444270033574,43
stint_lap_index_pct_of_lap,65,13580.104471206665,48,14332.648034095764,31,8327.34477186203,42,14317.270092010498,51,16101.959389686584,47.4,13331.865351772309,0.06457230527417411,44
RaceProgress,32,12346.954438209534,41,12333.968096494675,27,7360.721452713013,25,8334.079633712769,29,3964.7084245681763,30.8,8868.086409139632,0.042952187687118684,45
Position_Change,50,8062.122702121735,47,8642.989337921143,42,7594.508052825928,60,10179.212915420532,55,9611.961240768433,50.8,8818.158849811554,0.04271036574266749,46
RemainingRace,25,7057.614442825317,26,9813.415738105774,16,7151.662226676941,17,5863.140851974487,38,13618.667192459106,24.4,8700.900090408326,0.04214242808289735,47
TyreLife_x_RaceProgress,28,7547.481332778931,23,7076.060714542866,18,7415.943836212158,23,10612.384544372559,26,8949.956976890564,23.6,8320.365480959415,0.04029932538718515,48
Driver_Compound_target_encoded,40,3297.216162800789,39,7565.705757379532,15,9759.441234111786,35,11965.702353361994,41,6538.318086147308,34.0,7825.276718760282,0.03790138467543879,49
Stint,24,6903.338092803955,21,5588.628973007202,23,5952.612747192383,27,4529.905854701996,23,4410.8480796813965,23.6,5477.066749477386,0.026527932650269873,50
TyreLife_roll5_std_by_driver_race,31,6818.212366342545,18,7759.30291980505,22,7941.464153766632,19,1845.0744452476501,10,2448.427405357361,20.0,5362.496258103847,0.025973015498830083,51
Race,25,3731.5392484664917,29,4614.304353713989,33,4696.972133636475,32,6148.251389503479,27,4721.161451339722,29.2,4782.445715332031,0.023163566128166217,52
Compound_TyreLifeBin_target_encoded,16,678.983964920044,17,1019.7712240219116,15,6355.653305053711,12,6612.217410087585,15,7325.081228256226,15.0,4398.341426467896,0.021303173846724727,53
LapTime_Delta_pct_change_lag1_by_driver_race,18,2617.2084577083588,17,3540.7004168629646,9,3096.9976806640625,15,2691.979699641466,6,2085.5655879974365,13.0,2806.4903685748577,0.013593113045096418,54
RaceProgress_diff_lag1_by_driver_race,16,2225.72703564167,11,2069.5934047698975,14,4243.952609062195,6,2285.0677399635315,9,2414.6448345184326,11.2,2647.7971247911455,0.012824489276991188,55
Position_x_LapDelta,16,2636.012799024582,9,1986.615089416504,15,2394.1072549819946,10,1949.869276046753,9,1941.4518089294434,11.8,2181.6112456798555,0.010566538412187286,56
LapTime_s_minus_roll3_mean_by_driver_race,46,2762.048560142517,33,1895.7965822219849,24,1459.4888191223145,34,2597.503713607788,16,761.9168949127197,30.6,1895.3509140014648,0.009180049047248862,57
Position_minus_roll5_mean_by_driver_race,36,1862.197253227234,18,1912.5898208618164,29,2345.320382118225,24,1362.8680438995361,28,1992.0577821731567,27.0,1895.0066564559936,0.0091783816509219,58
LapTime_s_minus_roll5_mean_by_driver_race,49,2217.7366981506348,31,1568.9959354400635,15,1026.9310026168823,44,3538.753366470337,18,873.9761257171631,31.4,1845.2786256790162,0.00893752611425931,59
flag_Stint_low05,12,1631.7501163482666,6,2334.9580688476562,3,485.2070083618164,6,3289.692714691162,1,69.31900024414062,5.6,1562.1853816986084,0.007566376399719997,60
Degradation_per_TyreLife,40,2435.2672476768494,21,1495.9788980484009,16,1988.504023551941,21,753.9414086341858,21,1011.7424993515015,23.8,1537.0868154525756,0.007444812594594449,61
RaceProgress_sq,6,1466.9692130088806,6,988.7763061523438,6,2560.3195219039917,5,1194.8851585388184,7,811.6744899749756,6.0,1404.524937915802,0.006802754953134373,62
flag_TyreLife_low01,4,1748.928970336914,2,1321.3779907226562,3,1253.2959747314453,2,997.3569946289062,3,1635.8299865722656,2.8,1391.3579833984375,0.006738981386255872,63
TyreLife_pct_change_lag1_by_driver_race,29,1587.8549845218658,12,1104.8777961730957,7,406.8875980377197,16,1430.5578387379646,20,1894.7067513465881,16.8,1284.976993763447,0.006223729727404833,64
Driver_frequency,31,3255.748124599457,19,1217.932568192482,6,265.5186996459961,11,766.4133529663086,11,742.1792888641357,15.6,1249.558406853676,0.006052181354692416,65
Position_Change_pct_change_lag1_by_driver_race,25,1292.4143602848053,16,1582.6000061035156,14,1054.6333374977112,22,1300.943597793579,19,984.669713973999,19.2,1243.052203130722,0.006020668842235283,66
Driver_target_encoded,33,1449.360587835312,27,1344.0127749443054,17,536.0499911308289,29,997.1673314571381,26,1666.145694732666,26.4,1198.54727602005,0.0058051111791650395,67
flag_TyreLife_low05,1,1805.1500244140625,1,224.36599731445312,2,1292.6019592285156,2,1333.2039642333984,2,1321.987060546875,1.6,1195.4618011474608,0.005790166816907276,68
RaceProgress_lag2_by_driver_race,33,2202.5922956466675,12,496.20073890686035,6,185.6041374206543,14,1705.7587041854858,17,1336.5696449279785,16.4,1185.3451042175293,0.005741167038910043,69
Compound_TyreLifeBin_frequency,20,1087.4531245231628,24,1694.8686981201172,14,764.7605981826782,27,1312.0623035430908,20,907.0911288261414,21.0,1153.2471706390381,0.0055857021050082795,70
TyreLife_roll5_mean_by_driver_race,10,1528.068636894226,4,231.37595748901367,14,1111.6238956451416,6,1162.8630013465881,12,1724.2601900100708,9.2,1151.638336277008,0.005577909786317723,71
Position_minus_roll3_mean_by_driver_race,26,794.8671579360962,21,1381.547688484192,18,1179.023494720459,14,1010.8466958999634,15,1149.3209781646729,18.8,1103.1212030410766,0.005342919178801434,72
LapTime_s_stint_cumsum_prev,26,672.0410577058792,17,1382.9505012631416,12,725.5949230194092,12,1261.4931855201721,17,964.4490089416504,16.8,1001.3057352900505,0.004849780425012709,73
Race_Year_Compound_frequency,11,448.1379334926605,12,1524.074721813202,3,200.33109283447266,15,1691.9963846206665,8,640.1963977813721,9.8,900.9473061084748,0.004363698773648911,74
Driver_Year_frequency,28,1064.798973083496,24,926.1970705986023,14,667.6315484046936,14,839.7555952072144,20,751.6104803085327,20.0,849.9987335205078,0.004116931596241416,75
TyreLife_stint_start,11,1149.0245065689087,4,920.0697088241577,3,243.23489952087402,4,628.3843099474907,4,1293.6985130310059,5.2,846.8823875784874,0.004101837711312453,76
TyreLife_stint_cumsum_prev,19,618.8874998092651,8,547.351396560669,20,1301.4396045207977,18,987.1163997650146,11,717.3862009048462,15.2,834.4362203121185,0.004041555245880069,77
Race_Compound_target_encoded,22,1725.7480673789978,6,522.2514209747314,6,769.2917532920837,13,611.1400279998779,6,496.0676860809326,10.6,824.8997911453247,0.003995365969350819,78
Position_x_Degradation,28,1090.1467590332031,20,745.213098526001,19,865.3384618759155,21,794.1998949050903,18,472.18950843811035,21.2,793.4175445556641,0.003842883088383667,79
RaceProgress_lag3_by_driver_race,30,1668.8496770858765,9,298.77031832933426,12,627.6447992324829,12,464.607430934906,12,617.5480012893677,15.0,735.4840453743934,0.003562284725286877,80
Cumulative_Degradation,23,1693.1243909299374,11,305.23809719085693,12,476.45818042755127,12,723.7899985313416,11,355.742139339447,13.8,710.8705612838269,0.003443070394312119,81
RaceProgress_lag1_by_driver_race,25,779.32572889328,9,700.2794952392578,13,728.4032964706421,11,787.4789085388184,12,390.1633117198944,14.0,677.1301481723785,0.0032796501828096414,82
RaceProgressBin,3,450.6277084350586,2,505.6670150756836,3,1327.4469909667969,4,747.1710071563721,3,260.81090354919434,3.0,658.3447250366211,0.00318866380952877,83
LapTime_s_pct_change_lag1_by_driver_race,20,1062.3816051483154,6,196.1878604888916,15,934.339204788208,7,347.60083770751953,14,680.7794990539551,12.4,644.2578014373779,0.0031204344127397175,84
LapDelta_x_Degradation,23,624.3869938850403,16,484.9280023574829,14,618.4196605086327,16,824.6621327400208,13,512.8025012016296,16.4,613.0398581385613,0.0029692316731729645,85
Year_minus_2022,5,560.646692276001,6,749.4056167602539,7,854.6779975891113,2,220.95310401916504,8,601.7461071014404,5.6,597.4859035491943,0.0028938967761075866,86
LapTime_s_diff_lag1_by_driver_race,20,1003.5278520584106,10,392.446102142334,16,947.5498065948486,3,128.39030075073242,8,480.57869243621826,11.4,590.4985507965088,0.0028600538394217036,87
flag_RaceProgress_low05,0,0.0,1,904.926025390625,1,968.5230102539062,1,1036.739990234375,0,0.0,0.6,582.0378051757813,0.002819074588982745,88
Position_stint_cumsum_prev,23,1723.2683448791504,8,416.91159439086914,7,182.83315181732178,4,90.85180187225342,7,490.25280380249023,9.8,580.823539352417,0.0028131933457087237,89
clipped_Cumulative_Degradation,11,1029.5831882953644,11,482.02729892730713,6,336.15300369262695,7,270.89040184020996,19,743.5872783660889,10.8,572.4482342243194,0.002772627922549542,90
Cumulative_Degradation_stint_cumsum_prev,19,626.7113351821899,4,148.73369598388672,13,664.8491983413696,6,196.89513111114502,19,1128.069077014923,12.2,553.0516875267028,0.0026786815990925044,91
TyreLife_roll5_max_by_driver_race,7,399.7750883102417,4,189.0952033996582,14,1094.0687112808228,10,938.567307472229,2,52.66269874572754,7.4,534.8338018417359,0.0025904440685699426,92
stint_lap_index,3,898.5508346557617,3,611.5280075073242,3,801.0314102172852,1,10.723199844360352,3,301.03890800476074,2.6,524.5744720458985,0.002540753454540663,93
LapTime (s),12,340.1681880950928,7,291.7458109855652,12,905.3767004013062,7,276.775598526001,13,726.6602096557617,10.2,508.14530153274535,0.0024611794875236807,94
Race_Compound_frequency,17,630.1260721683502,9,482.68798828125,8,307.1017303466797,7,595.1845054626465,12,409.7953405380249,10.6,484.97912735939025,0.0023489751386732995,95
Race_frequency,6,284.5764036178589,6,1052.2263898849487,3,362.30030059814453,3,300.56887578964233,8,284.17875957489014,5.2,456.7701458930969,0.002212346173809589,96
Compound_Stint_bin_frequency,6,266.44246673583984,11,819.773006439209,6,396.5387020111084,10,518.2703170776367,4,149.37759971618652,7.4,430.0804183959961,0.0020830756489315224,97
Driver_Compound_frequency,24,502.16089153289795,15,293.26304841041565,27,685.7312126159668,15,291.4747338294983,17,308.9701108932495,19.6,416.31999945640564,0.0020164276631453744,98
Position_Change_minus_roll5_mean_by_driver_race,17,361.41563987731934,7,205.36049938201904,8,624.9342956542969,13,564.3510870933533,8,120.26016902923584,10.6,375.26433820724486,0.0018175763680367376,99
DegPerTyreLap,11,792.0265054702759,2,45.01359939575195,7,324.10460090637207,7,348.96850204467773,7,239.21180057525635,6.8,349.8650016784668,0.0016945557952344694,100
Compound_RaceProgressBin_frequency,5,478.0500454902649,3,27.72432041168213,6,470.81366539001465,8,765.2833890914917,1,7.394780158996582,4.6,349.85324010849,0.001694498828585992,101
Compound_frequency,8,417.7995309829712,2,254.17389297485352,3,255.4399070739746,2,448.23399353027344,4,358.12199783325195,3.8,346.75386447906493,0.001679487138621994,102
LapTime_s_stint_diff_prev,19,390.9178190231323,9,227.26069831848145,11,390.0195803642273,12,277.1338586807251,13,436.4189443588257,12.8,344.35018014907837,0.0016678449989631198,103
TyreLife_since_stint_start,11,271.6917290687561,3,169.7247748374939,7,231.38630294799805,9,511.49800300598145,7,533.3401985168457,7.4,343.52820167541506,0.0016638637822669032,104
Year_str,0,0.0,1,581.7349853515625,1,597.8510131835938,1,532.4149780273438,0,0.0,0.6,342.4001953125,0.0016584003329073818,105
Race_Year_frequency,10,298.6031758785248,6,352.3332996368408,4,79.78585147857666,9,755.1991996765137,7,130.38972282409668,7.2,323.2622498989105,0.0015657065334307395,106
TyreLife_roll3_std_by_driver_race,22,632.2880201339722,4,83.02569961547852,9,311.3326015472412,3,87.7593412399292,9,419.63429164886475,9.4,306.8079908370972,0.001486011051128369,107
