feature,split_importance_fold_1,gain_importance_fold_1,split_importance_fold_2,gain_importance_fold_2,split_importance_fold_3,gain_importance_fold_3,split_importance_fold_4,gain_importance_fold_4,split_importance_fold_5,gain_importance_fold_5,split_importance_mean,gain_importance_mean,gain_importance_pct,gain_rank
LapTime_s_stint_start,6,242.89060306549072,9,279.5625009536743,5,75.11300086975098,1,58.59510040283203,3,54.16655111312866,4.8,142.06555128097534,0.0006880882685362158,142
Position_stint_diff_prev,8,223.87992906570435,2,66.80780220031738,5,131.5507984161377,5,144.01139640808105,4,139.4912986755371,4.8,141.1482449531555,0.0006836453355581957,143
TyreLife_x_LapDelta_roll3_mean,9,258.3727979660034,5,225.00028085708618,2,80.2892017364502,4,82.68512916564941,3,56.91110038757324,4.6,140.65170202255248,0.0006812403516455454,144
TyreLife_x_LapDelta_lag1,10,208.44047063589096,5,101.46759796142578,8,214.64959812164307,4,57.68765068054199,4,116.07280349731445,6.2,139.66362417936324,0.0006764546399359247,145
Cumulative_Degradation_stint_expanding_mean_prev,7,140.39421844482422,5,89.70134115219116,7,202.47025060653687,7,153.25890159606934,7,104.962611079216,6.6,138.1574645757675,0.0006691596219359055,146
LapTime_Delta_lag3_by_driver_race,10,156.26500988006592,6,109.13730144500732,5,95.11959981918335,6,150.62360191345215,5,158.92559146881104,6.4,134.01422090530394,0.0006490920028852152,147
Cumulative_Degradation_roll5_min_by_driver_race,13,258.10414600372314,7,100.18260908126831,5,134.9061794281006,3,45.130948543548584,5,130.14410209655762,6.6,133.69359703063964,0.0006475390752065495,148
Cumulative_Degradation_lag1_by_driver_race,14,236.42213821411133,5,114.76570129394531,5,114.24392938613892,7,150.22369956970215,3,45.0900993347168,6.8,132.1491135597229,0.0006400584372355327,149
LapTime_s_stint_expanding_mean_prev,13,197.04391050338745,6,115.21766185760498,7,149.19189023971558,3,54.31990146636963,5,136.6868019104004,6.8,130.4920331954956,0.0006320324411487584,150
Position_Change_stint_expanding_mean_prev,13,252.93116760253906,4,37.4761598110199,7,172.5196990966797,4,73.87464904785156,3,108.66240119934082,6.2,129.0928153514862,0.0006252553908722615,151
Cumulative_Degradation_diff_lag1_by_driver_race,9,235.87759590148926,0,0.0,3,48.79434013366699,5,131.30116987228394,6,225.36825513839722,4.6,128.2682722091675,0.0006212617523158647,152
Position_lag3_by_driver_race,10,231.83352136611938,4,75.30241966247559,6,94.01666975021362,5,138.3901023864746,3,87.11860036849976,5.6,125.3322627067566,0.0006070413190250087,153
LapTime_s_roll5_std_by_driver_race,14,317.6858694553375,2,54.09670066833496,2,55.42729949951172,8,107.97739124298096,3,57.73262155056,5.8,118.58397648334503,0.0005743562905914063,154
LapTime_Delta_diff_lag1_by_driver_race,9,129.6717495918274,4,135.6110019683838,4,160.0740032196045,3,76.29379940032959,7,84.25430917739868,5.4,117.18097267150878,0.0005675609031457422,155
Position_Change_roll5_std_by_driver_race,9,162.10404896736145,2,28.13309955596924,3,97.5072021484375,2,52.47159957885742,8,239.76480197906494,4.8,115.99615044593811,0.0005618222686466318,156
Position_Change_stint_diff_prev,8,288.2098979949951,0,0.0,3,97.80739784240723,1,128.0240020751953,2,51.867000579833984,2.8,113.18165969848633,0.0005481904061172343,157
TyreLife_roll3_mean_by_driver_race,9,283.5037965774536,5,120.69889831542969,2,35.431400299072266,4,115.75849723815918,0,0.0,4.0,111.07851848602294,0.0005380039338702859,158
Cumulative_Degradation_roll3_max_by_driver_race,10,194.09665298461914,6,110.66533136367798,3,85.41879653930664,5,116.20269870758057,2,43.55270004272461,5.2,109.98723592758179,0.0005327183546475199,159
Position_Change_diff_lag1_by_driver_race,5,76.62230014801025,3,148.3139991760254,2,116.04469871520996,1,30.087400436401367,3,170.50450134277344,2.8,108.31457996368408,0.0005246169188266792,160
Cumulative_Degradation_roll5_max_by_driver_race,7,139.18460845947266,3,100.41009998321533,1,0.27318599820137024,4,110.97620010375977,9,174.79333996772766,4.8,105.12748690247535,0.0005091803733279494,161
TyreLife_lag2_by_driver_race,9,204.76429748535156,1,56.11830139160156,2,113.02629852294922,5,96.9250898361206,3,50.499399185180664,4.0,104.26667728424073,0.0005050110796856158,162
LapTime_Delta_roll5_min_by_driver_race,12,198.04680109024048,4,74.91037160158157,3,57.29659843444824,4,127.52339935302734,3,61.00707960128784,5.2,103.7568500161171,0.0005025417536666577,163
LapTime_Delta_lag1_by_driver_race,5,78.2009996175766,3,34.1156792640686,6,132.62769985198975,8,196.7121982574463,3,64.52541160583496,5.0,101.23639771938323,0.0004903340534807227,164
Position_roll3_mean_by_driver_race,6,137.3977975845337,0,0.0,5,123.8067193031311,4,92.55589962005615,4,150.67469882965088,3.8,100.88702306747436,0.000488641872673097,165
Cumulative_Degradation_since_stint_start,5,109.03949117660522,2,13.32984972000122,1,53.77640151977539,4,185.21600532531738,3,138.19680404663086,3.0,99.91171035766601,0.00048391798832729885,166
LapTime_s_roll3_max_by_driver_race,5,150.57930183410645,4,138.73399543762207,4,133.985502243042,0,0.0,4,73.57059955596924,3.4,99.37387981414795,0.00048131302967181663,167
TyreLife_x_Degradation_since_stint_start,5,169.8989019393921,3,53.68575048446655,0,0.0,4,102.78809642791748,5,169.3612003326416,3.4,99.14678983688354,0.00048021312932406275,168
LapTime_Delta_roll5_mean_by_driver_race,7,146.90810108184814,5,174.75179862976074,3,63.24015140533447,1,45.1515998840332,2,61.79749870300293,3.6,98.3698299407959,0.0004764499581344218,169
Position_lag1_by_driver_race,9,146.85811257362366,5,129.08160305023193,4,114.11519813537598,2,67.94019889831543,1,32.74100112915039,4.2,98.14722275733948,0.0004753717700019216,170
LapTime_Delta_roll3_min_by_driver_race,11,259.42420291900635,1,34.579898834228516,4,88.9748010635376,0,0.0,4,106.95309829711914,4.0,97.98640022277831,0.00047459283310729796,171
LapTime_s_roll3_std_by_driver_race,5,80.44353103637695,4,97.31650066375732,4,134.27019691467285,4,67.01250886917114,6,106.87808084487915,4.6,97.18416366577148,0.00047070723551879084,172
LapTime_Delta_stint_expanding_mean_prev,7,137.97237014770508,4,104.46630096435547,2,13.271080017089844,5,121.1771011352539,4,74.44629859924316,4.4,90.26663017272949,0.000437202465355653,173
Position_roll5_std_by_driver_race,13,193.7950222492218,5,69.25319451093674,0,0.0,5,91.62658882141113,4,73.00684022903442,5.4,85.53632916212082,0.0004142914598184458,174
LapTime_Delta_roll3_mean_by_driver_race,7,94.47241973876953,4,145.1526985168457,1,30.487600326538086,2,42.24871826171875,4,76.94815826416016,3.6,77.86191902160644,0.00037712079079975255,175
LapTime_Delta_roll3_max_by_driver_race,6,146.7989673614502,5,91.12089920043945,2,43.42159843444824,1,17.010299682617188,4,89.42944192886353,3.6,77.55624132156372,0.0003756402542625274,176
Position_roll3_std_by_driver_race,11,144.08505773544312,3,83.16839981079102,4,63.118300437927246,3,49.44160079956055,3,37.265469551086426,4.8,75.41576566696168,0.00036527295428206915,177
LapTime_Delta_roll3_std_by_driver_race,7,154.2673110961914,3,39.73749923706055,3,52.7234992980957,2,54.4369010925293,3,72.79899978637695,3.6,74.79284210205078,0.00036225585130851144,178
LapTime_s_roll3_mean_by_driver_race,2,159.8187952041626,3,64.60609817504883,2,69.3218002319336,1,18.745399475097656,2,60.88599967956543,2.0,74.67561855316163,0.0003616880841893223,179
TyreLife_lag1_by_driver_race,4,95.94579887390137,2,55.65170097351074,3,60.067399978637695,4,70.9183177947998,4,83.77279949188232,3.4,73.27120342254639,0.0003548858610830336,180
Position_lag2_by_driver_race,7,88.82012927532196,2,21.07088041305542,3,70.90229988098145,6,158.06669807434082,0,0.0,3.6,67.77200152873993,0.00032825071783175696,181
LapTime_Delta_since_stint_start,5,59.80895049124956,8,174.04131174087524,3,27.488369464874268,1,54.03150177001953,1,18.703399658203125,3.6,66.81470662504435,0.00032361410193984617,182
LapTime_Delta_roll5_max_by_driver_race,5,77.4698600769043,5,79.44602060317993,0,0.0,2,39.876399993896484,4,136.36259937286377,3.2,66.6309760093689,0.00032272421075878725,183
Position_Change_roll3_std_by_driver_race,9,134.74171113967896,5,116.5205774307251,1,50.33100128173828,1,14.520299911499023,0,0.0,3.2,63.222717952728274,0.000306216462302019,184
Position_Change_roll3_max_by_driver_race,5,79.7341718673706,5,162.14149856567383,1,28.913400650024414,1,30.3075008392334,1,12.086400032043457,2.6,62.63659439086914,0.000303377598529687,185
Cumulative_Degradation_stint_start,2,104.52170181274414,3,45.38333082199097,2,53.05050086975098,2,19.277649879455566,4,67.01125073432922,2.6,57.848886823654176,0.00028018854685264016,186
Position_roll3_max_by_driver_race,6,137.69119930267334,3,54.52020072937012,2,17.061630249023438,1,57.55670166015625,1,22.30929946899414,2.6,57.827806282043454,0.000280086444173659,187
LapTime_Delta_roll5_std_by_driver_race,4,98.67540073394775,4,72.78289985656738,4,55.477399826049805,3,60.248779296875,0,0.0,3.0,57.43689594268799,0.000278193087085085,188
RaceProgress_x_LapDelta_since_stint_start,4,84.66607093811035,2,58.50579833984375,1,32.80229949951172,1,23.64150047302246,2,77.99410057067871,2.0,55.5219539642334,0.00026891814957615923,189
LapTime_s_lag1_by_driver_race,4,77.05690002441406,2,33.10410118103027,1,2.4310998916625977,5,102.7506103515625,3,57.75590133666992,3.0,54.619722557067874,0.00026454823131534397,190
Cumulative_Degradation_roll3_std_by_driver_race,3,113.19209861755371,3,49.423890113830566,1,26.07670021057129,2,30.271769523620605,2,49.2130012512207,2.2,53.635491943359376,0.00025978115349302525,191
LapTime_s_roll5_max_by_driver_race,2,80.6057186126709,1,14.09160041809082,2,62.69729804992676,4,84.32730007171631,1,22.919300079345703,2.0,52.928243446350095,0.00025635562640821165,192
Cumulative_Degradation_roll5_std_by_driver_race,5,79.06700134277344,2,26.43199920654297,2,7.700129985809326,3,50.61467933654785,4,96.21640014648438,3.2,52.00604200363159,0.00025188898415581394,193
TyreLife_roll3_min_by_driver_race,7,180.44139766693115,1,14.2701997756958,1,13.569100379943848,1,14.728400230407715,1,28.191699981689453,2.2,50.240159606933595,0.00024333601019536853,194
LapTime_Delta_stint_start,7,126.80545139312744,4,69.1806001663208,1,13.595399856567383,2,41.1239013671875,0,0.0,2.8,50.14107055664063,0.00024285607672499374,195
Position_x_PositionChange_roll3_mean,2,22.68079948425293,2,62.094200134277344,2,22.818800926208496,1,35.11479949951172,3,99.8351001739502,2.0,48.50874004364014,0.00023494995545743952,196
Position_Change_lag3_by_driver_race,1,30.82859992980957,2,28.001700401306152,1,16.923799514770508,4,65.05969095230103,3,94.77330017089844,2.2,47.11741819381714,0.00022821114908257192,197
Position_roll3_min_by_driver_race,1,18.449499130249023,4,86.45170211791992,1,34.67559814453125,3,85.10090065002441,1,9.827380180358887,2.0,46.901016044616696,0.0002271630147614208,198
Position_Change_roll5_max_by_driver_race,2,28.54769992828369,2,77.42020034790039,2,63.00619888305664,0,0.0,2,45.58358860015869,1.6,42.91153755187988,0.00020784015060696786,199
Position_Change_since_stint_start,7,137.58377075195312,3,76.8661003112793,0,0.0,0,0.0,0,0.0,2.0,42.889974212646486,0.0002077357095188703,200
Position_roll5_max_by_driver_race,5,68.59630966186523,2,63.42099952697754,2,54.71339988708496,1,22.040800094604492,0,0.0,2.0,41.75430183410644,0.00020223513014879844,201
Position_Change_roll5_mean_by_driver_race,5,104.21884059906006,0,0.0,1,19.881099700927734,1,16.778400421142578,3,50.03450012207031,2.0,38.18256816864014,0.00018493559474853466,202
Position_stint_start,5,94.03470230102539,2,43.67300033569336,1,25.073200225830078,1,19.30940055847168,0,0.0,1.8,36.4180606842041,0.00017638928011534476,203
Position_since_stint_start,2,32.40329933166504,1,15.175399780273438,3,65.22410011291504,1,24.296899795532227,2,34.133599281311035,1.8,34.246659660339354,0.0001658721944648353,204
Position_Change_roll3_min_by_driver_race,6,119.18050003051758,1,24.541799545288086,0,0.0,2,22.480799674987793,0,0.0,1.8,33.240619850158694,0.0001609994847556631,205
top3,1,63.68299865722656,0,0.0,0,0.0,2,81.68569946289062,0,0.0,0.6,29.07373962402344,0.00014081738308395993,206
Position_roll5_min_by_driver_race,2,28.730700492858887,2,45.14529991149902,0,0.0,2,43.0807991027832,1,26.085599899291992,1.4,28.60847988128662,0.00013856391792007783,207
Position_Change_roll3_mean_by_driver_race,3,47.50036907196045,1,7.676700115203857,1,12.961899757385254,0,0.0,2,65.16840171813965,1.4,26.66147413253784,0.00012913368094561988,208
Position_Change_stint_cumsum_prev,2,23.956239700317383,1,48.20180130004883,1,20.29680061340332,1,8.595459938049316,1,27.778400421142578,1.2,25.765740394592285,0.00012479523386077076,209
Position_Change_lag2_by_driver_race,4,73.32609939575195,2,12.070749998092651,0,0.0,0,0.0,0,0.0,1.2,17.079369878768922,8.272317913530307e-05,210
Position_Change_roll5_min_by_driver_race,1,29.06060028076172,0,0.0,0,0.0,3,44.67341899871826,0,0.0,0.8,14.746803855895996,7.142549787863677e-05,211
Compound_target_encoded,1,23.802099227905273,0,0.0,1,9.319219589233398,1,21.78380012512207,1,13.186400413513184,0.8,13.618303871154785,6.595965768344435e-05,212
Position_Change_lag1_by_driver_race,2,42.798800468444824,0,0.0,1,2.950930118560791,0,0.0,0,0.0,0.6,9.149946117401123,4.431736282548979e-05,213
Position_Change_stint_start,2,25.585599899291992,0,0.0,0,0.0,0,0.0,0,0.0,0.4,5.117119979858399,2.4784546254066864e-05,214
Compound,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,215
flag_Position_Change_high95,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,216
flag_LapTime_Delta_high95,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,217
flag_LapNumber_high95,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,218
flag_Cumulative_Degradation_low05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,219
flag_Cumulative_Degradation_low01,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,220
early_race,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,221
backmarker,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,222
flag_Position_Change_high99,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,223
flag_TyreLife_high99,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,224
flag_RaceProgress_high99,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,225
flag_TyreLife_high95,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,226
flag_old_tyre_and_slow,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,227
late_race,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,228
flag_old_tyre_late_race,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,229
flag_position_loss_and_slow,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,230
